"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","01-Jan-2026","1,570.40","1,573.70","1,592.50","1,571.10","1,572.90","1,575.60","1,578.67","64,08,128","10,11,63,46,867.10","1,34,062","21,00,118","32.77"
"RELIANCE","EQ","02-Jan-2026","1,575.60","1,580.00","1,594.60","1,578.20","1,593.00","1,592.30","1,589.16","66,02,230","10,49,19,99,169.40","1,56,023","48,76,895","73.87"
"RELIANCE","EQ","05-Jan-2026","1,592.30","1,593.00","1,611.80","1,575.30","1,577.00","1,578.10","1,589.36","87,04,973","13,83,53,33,400.10","2,27,204","58,29,320","66.97"
"RELIANCE","EQ","06-Jan-2026","1,578.10","1,569.00","1,569.00","1,496.30","1,508.90","1,507.60","1,516.17","2,74,17,125","41,56,90,80,602.20","5,83,917","1,38,27,457","50.43"
"RELIANCE","EQ","07-Jan-2026","1,507.60","1,510.00","1,520.00","1,498.00","1,505.10","1,504.20","1,506.81","1,11,99,340","16,87,52,53,099.50","3,02,077","67,18,330","59.99"
"RELIANCE","EQ","08-Jan-2026","1,504.20","1,500.00","1,503.90","1,468.80","1,470.70","1,470.60","1,477.72","1,65,18,684","24,41,00,37,550.10","4,43,727","1,15,41,052","69.87"
"RELIANCE","EQ","09-Jan-2026","1,470.60","1,465.00","1,479.90","1,465.00","1,476.00","1,475.30","1,472.13","83,35,311","12,27,06,72,520.90","2,37,412","46,78,450","56.13"
"RELIANCE","EQ","12-Jan-2026","1,475.30","1,475.30","1,485.30","1,451.00","1,484.00","1,483.20","1,469.79","88,83,745","13,05,72,59,395.40","2,36,827","48,84,119","54.98"
"RELIANCE","EQ","13-Jan-2026","1,483.20","1,485.00","1,485.80","1,444.70","1,456.90","1,452.80","1,457.67","1,34,99,760","19,67,81,31,155.40","2,89,198","59,01,025","43.71"
"RELIANCE","EQ","14-Jan-2026","1,452.80","1,444.00","1,467.00","1,440.20","1,458.80","1,458.80","1,458.22","83,21,764","12,13,49,50,551.20","1,67,816","38,93,699","46.79"